Nome, Serie, Média
João da Silva, 1, 55.99371217666666
Maria Oliveira, 3, 40.96611389
Lucas Pereira, 4, 36.90933813
Ana Santos, 3, 34.69906088366667
Pedro Costa, 3, 48.36241156
Fernanda Lima, 5, 51.132332053333336
Guilherme Almeida, 2, 36.448803266666665
Camila Souza, 3, 69.60258282
Thiago Oliveira, 4, 70.53466124
Juliana Ferreira, 1, 28.88598114
Matheus Martins, 3, 48.62779247166666
Vanessa Pereira, 5, 43.31182726666666
André Silva, 5, 50.35653093666667
Rafaela Santos, 2, 31.354636913333334
Leonardo Oliveira, 2, 58.65599927333333
Larissa Costa, 3, 71.29592956
Carlos Mendes, 4, 52.40065559333333
Bruna Lima, 4, 67.29475649666666
Marcelo Ferreira, 2, 18.544540312333332
Isabela Almeida, 4, 25.347661195
Renato Souza, 5, 16.460346677
Patrícia Martins, 2, 44.30912589
Gabriel Pereira, 5, 58.70821121
Jéssica Oliveira, 3, 47.350173461666664
Lucas Costa, 2, 56.33038425066667
Amanda Mendes, 2, 80.06880375333333
Marcos Lima, 3, 71.51977131666666
Paula Ferreira, 4, 81.85729007333333
Gustavo Almeida, 1, 63.35589210666666
Carolina Souza, 4, 53.816198826666664
Alexandre Martins, 3, 44.09387637166666
Beatriz Pereira, 3, 72.36749813333334
Fernando Silva, 2, 20.396062176666664
Natália Oliveira, 5, 46.78921456833333
Rafael Costa, 3, 32.389500500000004
Marina Lima, 3, 71.34761976666665
Douglas Ferreira, 5, 58.63988040666667
Bianca Almeida, 1, 49.861351211666666
Felipe Souza, 1, 65.82252007666666
Mariana Martins, 1, 59.86287072166667
Vinícius Pereira, 3, 48.79299563000001
Letícia Silva, 3, 70.30591467333333
José Oliveira, 4, 50.974695733333334
Ana Clara Costa, 1, 25.762482884999997
Ricardo Lima, 4, 76.19527648
Larissa Ferreira, 3, 13.830789391333335
Daniel Almeida, 3, 38.004803224999996
Laura Souza, 4, 43.08753548666667
Wagner Martins, 4, 39.760607236666665
Luana Pereira, 5, 52.89348623733333
Marcelo Silva, 5, 24.012192228
Luiza Oliveira, 1, 63.04338618333333
Eduardo Costa, 4, 37.254193453333336
Tainá Lima, 5, 51.12782106
Bruno Ferreira, 4, 27.20592890333333
Raquel Almeida, 2, 35.17988865666666
Diego Souza, 1, 54.33798614333333
Carolina Pereira, 1, 63.16016090033333
Ricardo Silva, 2, 74.29386532
Fernanda Oliveira, 1, 93.01505232
Roberto Costa, 2, 62.02189901666666
Gabriela Lima, 4, 69.16481934333333
Lucas Ferreira, 4, 67.69218593
Amanda Almeida, 1, 61.22187093333334
Matheus Souza, 2, 13.323806374666667
Marcela Pereira, 4, 34.20478174
Gustavo Silva, 4, 72.30050289
Bruna Oliveira, 1, 38.340535402
Rodrigo Costa, 4, 81.73174384666667
Larissa Lima, 2, 37.05888281666667
André Ferreira, 1, 50.35710784333333
Débora Almeida, 4, 46.44567343333333
Carlos Souza, 5, 34.81036416333333
Renata Martins, 3, 25.18319268333333
Lucas Pereira, 1, 43.95019227666666
Camila Silva, 3, 50.62404203666667
Thiago Costa, 1, 52.66744140666666
Juliana Oliveira, 4, 55.02597096400001
Marcos Lima, 2, 58.11369805333334
Jéssica Ferreira, 1, 69.83554591333332
Rafael Almeida, 2, 49.661560656666666
Natália Souza, 4, 70.11216106333333
Leonardo Pereira, 2, 66.41433149666666
Patrícia Silva, 5, 60.07291917966666
Gabriel Costa, 3, 72.02251498
Larissa Lima, 2, 53.13500385999999
André Ferreira, 3, 45.539164613000004
Amanda Almeida, 3, 50.702823826666666
Renato Souza, 2, 57.304594439999995
Mariana Oliveira, 2, 29.40566472633333
Vinícius Costa, 5, 45.621047051000005
Letícia Lima, 5, 55.46359700833333
José Ferreira, 5, 20.466695826666665
