Nome,Matricula,Serie,Nota 1,Nota 2,Nota 3
João da Silva,14438077,1,69.05730348,69.57829808,29.34553497
Maria Oliveira,97323013,3,22.57983941,32.9092306,67.40927166
Lucas Pereira,50267313,4,85.05989249,11.32040426,14.34771764
Ana Santos,48423101,3,11.49155628,6.950964961,85.65466141
Pedro Costa,49312965,3,34.48620167,43.84195105,66.75908196
Fernanda Lima,6319111,5,22.91956498,83.77154765,46.70588353
Guilherme Almeida,93549706,2,8.64831799,97.050476,3.64761581
Camila Souza,33964282,3,88.59320651,92.73505797,27.47948398
Thiago Oliveira,84291782,4,31.48228503,82.40346172,97.71823697
Juliana Ferreira,29502057,1,10.69704785,42.11451503,33.84638054
Matheus Martins,90098887,3,9.457811405,96.85387374,39.57169227
Vanessa Pereira,6046004,5,41.39465136,35.34596578,53.19486466
André Silva,42929076,5,24.66908526,83.53150487,42.86900268
Rafaela Santos,28722317,2,11.80848241,60.05718054,22.19824779
Leonardo Oliveira,84439050,2,75.50606925,83.63080455,16.83112402
Larissa Costa,8844900,3,84.9071936,64.22614831,64.75444677
Carlos Mendes,25217728,4,27.31239205,86.13046141,43.75911332
Bruna Lima,74470739,4,94.52191478,25.87973648,81.48261823
Marcelo Ferreira,74938904,2,43.71723744,8.891520276,3.024863221
Isabela Almeida,38617785,4,2.447758076,68.44176554,5.153459969
Renato Souza,72949125,5,11.96666357,32.32612666,5.088249801
Patrícia Martins,55039295,2,35.89874119,48.67077043,48.35786605
Gabriel Pereira,55183579,5,56.96901208,31.46773736,87.68788419
Jéssica Oliveira,5855703,3,69.89944775,6.391602065,65.75947057
Lucas Costa,42826277,2,8.616570652,85.48783482,74.88674728
Amanda Mendes,79083212,2,62.75333743,81.03501621,96.41805762
Marcos Lima,5007008,3,65.27091103,77.38834097,71.90006195
Paula Ferreira,27617231,4,89.57647069,68.28135577,87.71404376
Gustavo Almeida,4974482,1,98.43440114,67.96007098,23.6732042
Carolina Souza,18389878,4,8.88973247,67.59654698,84.96231703
Alexandre Martins,77998752,3,5.219858635,44.65529331,82.40647717
Beatriz Pereira,82561244,3,33.09831848,97.70179328,86.30238264
Fernando Silva,46872102,2,17.23108225,10.6086745,33.34842978
Natália Oliveira,19011426,5,5.842454565,79.39570162,55.12948752
Rafael Costa,64948563,3,68.14871859,14.80028503,14.21949788
Marina Lima,25531869,3,50.9789037,83.82506801,79.23888759
Douglas Ferreira,90364006,5,54.26063164,99.74378876,21.91522082
Bianca Almeida,81695197,1,90.46206605,57.26628544,1.855702145
Felipe Souza,60519972,1,59.27796094,96.87211185,41.31748744
Mariana Martins,63823585,1,5.562129955,81.53424568,92.49223653
Vinícius Pereira,22911350,3,69.24482697,66.06367794,11.07048198
Letícia Silva,75172199,3,69.42405822,40.8928736,100.6008122
José Oliveira,24684483,4,57.70016252,8.89936601,86.32455867
Ana Clara Costa,43250071,1,23.48611976,3.226894635,50.57443426
Ricardo Lima,3362394,4,53.31696822,84.97065846,90.29820276
Larissa Ferreira,99637516,3,28.10316482,4.48632782,8.902875534
Daniel Almeida,9389176,3,10.17160655,96.89249943,6.950303695
Laura Souza,78101053,4,44.03416674,53.08436104,32.14407868
Wagner Martins,27322212,4,28.0406099,47.94232595,43.29888586
Luana Pereira,62112291,5,9.243380262,54.87891457,94.55816388
Marcelo Silva,16261717,5,30.45474387,2.093907724,39.48792509
Luiza Oliveira,86674748,1,60.53120164,42.27414477,86.32481214
Eduardo Costa,27287821,4,10.74117863,20.59837214,80.42302959
Tainá Lima,59936297,5,15.46725383,73.32871389,64.58749546
Bruno Ferreira,61622385,4,30.34980899,13.4541549,37.81382282
Raquel Almeida,61275059,2,13.37036772,31.85353903,60.31575922
Diego Souza,38866082,1,74.09541409,24.68526263,64.23328171
Carolina Pereira,94470002,1,8.906339901,98.43624171,82.13790109
Ricardo Silva,51450374,2,78.57345273,84.20703454,60.10110869
Fernanda Oliveira,10184783,1,95.30509958,99.06855257,84.67150481
Roberto Costa,85960225,2,93.255644,68.40809904,24.40195401
